"NOME_MUN","NU_ANO","CASOS"
"Volta Redonda",2016,4128
"Volta Redonda",2017,269
"Volta Redonda",2018,106
"Volta Redonda",2019,2788
"Volta Redonda",2020,478
"Volta Redonda",2021,156
"Volta Redonda",2022,13
"Volta Redonda",2023,584
"Volta Redonda",2024,24346
"Volta Redonda",2025,472
