"NOME_MUN","RACA_COR","NU_ANO","CASOS"
"Araruama","Amarela","2017",0
"Araruama","Amarela","2018",0
"Araruama","Amarela","2019",0
"Araruama","Amarela","2020",0
"Araruama","Amarela","2021",0
"Araruama","Amarela","2022",0
"Araruama","Amarela","2023",0
"Araruama","Amarela","2024",15
"Araruama","Amarela","2025",5
"Araruama","Parda","2015",150
"Araruama","Parda","2016",302
"Araruama","Parda","2017",12
"Araruama","Parda","2018",20
"Araruama","Parda","2019",44
"Araruama","Parda","2020",10
"Araruama","Parda","2021",2
"Araruama","Parda","2022",11
"Araruama","Parda","2023",32
"Araruama","Parda","2024",902
"Araruama","Parda","2025",87
"Araruama","Indígena","2015",7
"Araruama","Indígena","2016",12
"Araruama","Indígena","2017",0
"Araruama","Indígena","2018",0
"Araruama","Indígena","2019",0
"Araruama","Indígena","2020",0
"Araruama","Indígena","2021",0
"Araruama","Indígena","2022",0
"Araruama","Indígena","2023",0
"Araruama","Indígena","2024",3
"Araruama","Indígena","2025",0
"Araruama","Ignorado","2015",200
"Araruama","Ignorado","2016",494
"Araruama","Ignorado","2017",8
"Araruama","Ignorado","2018",5
"Araruama","Ignorado","2019",25
"Araruama","Ignorado","2020",3
"Araruama","Ignorado","2021",7
"Araruama","Ignorado","2022",0
"Araruama","Ignorado","2023",2
"Araruama","Ignorado","2024",113
"Araruama","Ignorado","2025",0
"Areal","Branca","2015",235
"Areal","Branca","2016",377
"Areal","Branca","2017",34
"Areal","Branca","2018",4
"Areal","Branca","2019",0
"Areal","Branca","2020",0
"Areal","Branca","2021",0
"Areal","Branca","2022",1
"Areal","Branca","2023",3
"Areal","Branca","2024",121
"Areal","Branca","2025",0
"Areal","Preta","2015",50
"Areal","Preta","2016",61
"Areal","Preta","2017",9
"Areal","Preta","2018",3
"Areal","Preta","2019",0
"Areal","Preta","2020",0
"Areal","Preta","2021",0
"Areal","Preta","2022",0
"Areal","Preta","2023",3
"Areal","Preta","2024",35
"Areal","Preta","2025",0
"Areal","Amarela","2015",0
"Areal","Amarela","2016",1
"Areal","Amarela","2017",0
"Areal","Amarela","2018",0
"Areal","Amarela","2019",0
"Areal","Amarela","2020",0
"Areal","Amarela","2021",0
"Areal","Amarela","2022",0
"Areal","Amarela","2023",0
"Areal","Amarela","2024",4
"Areal","Amarela","2025",0
"Areal","Parda","2015",80
"Areal","Parda","2016",162
"Areal","Parda","2017",10
"Areal","Parda","2018",0
"Areal","Parda","2019",0
"Areal","Parda","2020",0
"Areal","Parda","2021",1
"Areal","Parda","2022",0
"Areal","Parda","2023",3
"Areal","Parda","2024",65
"Areal","Parda","2025",1
"Areal","Indígena","2015",0
"Areal","Indígena","2016",0
"Areal","Indígena","2017",0
"Areal","Indígena","2018",0
"Areal","Indígena","2019",0
"Areal","Indígena","2020",0
"Areal","Indígena","2021",0
"Areal","Indígena","2022",0
"Areal","Indígena","2023",0
"Areal","Indígena","2024",2
"Areal","Indígena","2025",0
"Areal","Ignorado","2015",122
"Areal","Ignorado","2016",190
"Areal","Ignorado","2017",14
"Areal","Ignorado","2018",2
"Areal","Ignorado","2019",0
"Areal","Ignorado","2020",4
"Areal","Ignorado","2021",0
"Areal","Ignorado","2022",0
"Areal","Ignorado","2023",1
"Areal","Ignorado","2024",584
"Areal","Ignorado","2025",0
"Armação dos Búzios","Branca","2015",14
"Armação dos Búzios","Branca","2016",5
